location,site_code,site_name,survey_year,taxon,survey_mean,survey_datetime,survey_change,summer_temp_max,summer_dhd50_max,summer_inten_max,summer_dtdt_max
Jurien,JMP-S5,Escape Island,2000,Ecklonia radiata,56.4,1/01/2000,-13,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S5,Escape Island,2003,Ecklonia radiata,46.2,1/01/2003,-10.2,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S5,Escape Island,2004,Ecklonia radiata,60.9,1/01/2004,14.7,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S5,Escape Island,2006,Ecklonia radiata,56.4,1/01/2006,-4.5,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S5,Escape Island,2016,Ecklonia radiata,31.2,1/01/2016,-20.3,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S5,Escape Island,2018,Ecklonia radiata,45.5,1/01/2018,14.3,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S5,Escape Island,2021,Ecklonia radiata,43.46666667,1/01/2021,-2.03333333,23.03439903,70.60350037,1.884355545,0.117166713
Jurien,JMP-S25,Fishermans Island,2000,Ecklonia radiata,3.2,1/01/2000,1.866666667,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S25,Fishermans Island,2003,Ecklonia radiata,2.4,1/01/2003,-0.8,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S25,Fishermans Island,2004,Ecklonia radiata,7.6,1/01/2004,5.2,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S25,Fishermans Island,2006,Ecklonia radiata,4.8,1/01/2006,-2.8,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S25,Fishermans Island,2009,Ecklonia radiata,3.8,1/01/2009,-1,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S25,Fishermans Island,2016,Ecklonia radiata,5.333333333,1/01/2016,2.533333333,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S25,Fishermans Island,2018,Ecklonia radiata,3.2,1/01/2018,-2.133333333,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S25,Fishermans Island,2021,Ecklonia radiata,15.8,1/01/2021,12.6,23.03439903,70.60350037,1.884355545,0.117166713
