"survey_id","location","site_code","site_name","latitude","longitude","survey_year","taxon","survey.mean"
"923403923","Albany","WA3","Seal Cove",-35.06272,118.06328,"2023","Ecklonia radiata",70.8
"923403928","Albany","WA198","Torndirrup Beach South",-35.12258,117.94513,"2023","Ecklonia radiata",52
"923403933","Albany","WA3","Seal Cove",-35.06272,118.06328,"2023","Ecklonia radiata",72
"923403939","Albany","WA198","Torndirrup Beach South",-35.12258,117.94513,"2023","Ecklonia radiata",36.8
"812300011","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2005","Ecklonia radiata",0
"812300012","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2005","Ecklonia radiata",0
"812300013","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2005","Ecklonia radiata",0
"812300014","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2005","Ecklonia radiata",0
"812300021","Batemans","BMP-S2","Brush Island Mid South",-35.53148,150.41545,"2005","Ecklonia radiata",28.4
"812300022","Batemans","BMP-S2","Brush Island Mid South",-35.53148,150.41545,"2005","Ecklonia radiata",12
"812300023","Batemans","BMP-S2","Brush Island Mid South",-35.53148,150.41545,"2005","Ecklonia radiata",0.8
"812300024","Batemans","BMP-S2","Brush Island Mid South",-35.53148,150.41545,"2005","Ecklonia radiata",6.8
"812300031","Batemans","BMP-S3","Belowla Island South West",-35.55425,150.38896,"2005","Ecklonia radiata",0
"812300032","Batemans","BMP-S3","Belowla Island South West",-35.55425,150.38896,"2005","Ecklonia radiata",0
"812300033","Batemans","BMP-S3","Belowla Island South West",-35.55425,150.38896,"2005","Ecklonia radiata",0
"812300034","Batemans","BMP-S3","Belowla Island South West",-35.55425,150.38896,"2005","Ecklonia radiata",0
"812300041","Batemans","BMP-S4","Snapper Point",-35.57202,150.36938,"2005","Ecklonia radiata",0.8
"812300042","Batemans","BMP-S4","Snapper Point",-35.57202,150.36938,"2005","Ecklonia radiata",6.4
"812300043","Batemans","BMP-S4","Snapper Point",-35.57202,150.36938,"2005","Ecklonia radiata",7.2
"812300044","Batemans","BMP-S4","Snapper Point",-35.57202,150.36938,"2005","Ecklonia radiata",0
"812300051","Batemans","BMP-S5","Durras Mountain",-35.59893,150.34279,"2005","Ecklonia radiata",5.6
"812300052","Batemans","BMP-S5","Durras Mountain",-35.59893,150.34279,"2005","Ecklonia radiata",0
"812300053","Batemans","BMP-S5","Durras Mountain",-35.59893,150.34279,"2005","Ecklonia radiata",0
"812300054","Batemans","BMP-S5","Durras Mountain",-35.59893,150.34279,"2005","Ecklonia radiata",0
"812300061","Batemans","BMP-S6","Kiola Gulch",-35.60594,150.33823,"2005","Ecklonia radiata",2.8
"812300062","Batemans","BMP-S6","Kiola Gulch",-35.60594,150.33823,"2005","Ecklonia radiata",0
"812300063","Batemans","BMP-S6","Kiola Gulch",-35.60594,150.33823,"2005","Ecklonia radiata",0
"812300064","Batemans","BMP-S6","Kiola Gulch",-35.60594,150.33823,"2005","Ecklonia radiata",0
"812300071","Batemans","BMP-S7","Montague Island mid inner",-36.25163,150.22206,"2005","Ecklonia radiata",29.6
"812300072","Batemans","BMP-S7","Montague Island mid inner",-36.25163,150.22206,"2005","Ecklonia radiata",32
"812300073","Batemans","BMP-S7","Montague Island mid inner",-36.25163,150.22206,"2005","Ecklonia radiata",20
"812300074","Batemans","BMP-S7","Montague Island mid inner",-36.25163,150.22206,"2005","Ecklonia radiata",24.8
"812300081","Batemans","BMP-S8","Montague Island North West Inner",-36.24267,150.22491,"2005","Ecklonia radiata",0
"812300082","Batemans","BMP-S8","Montague Island North West Inner",-36.24267,150.22491,"2005","Ecklonia radiata",0
"812300083","Batemans","BMP-S8","Montague Island North West Inner",-36.24267,150.22491,"2005","Ecklonia radiata",0
"812300084","Batemans","BMP-S8","Montague Island North West Inner",-36.24267,150.22491,"2005","Ecklonia radiata",0
"812300091","Batemans","BMP-S9","Montague Island North",-36.24802,150.22517,"2005","Ecklonia radiata",18
"812300092","Batemans","BMP-S9","Montague Island North",-36.24802,150.22517,"2005","Ecklonia radiata",8
"812300093","Batemans","BMP-S9","Montague Island North",-36.24802,150.22517,"2005","Ecklonia radiata",0
"812300094","Batemans","BMP-S9","Montague Island North",-36.24802,150.22517,"2005","Ecklonia radiata",0
"812300101","Batemans","BMP-S10","Shark Gutter NE Tollgates",-35.75012,150.26204,"2005","Ecklonia radiata",0
"812300102","Batemans","BMP-S10","Shark Gutter NE Tollgates",-35.75012,150.26204,"2005","Ecklonia radiata",7.2
"812300103","Batemans","BMP-S10","Shark Gutter NE Tollgates",-35.75012,150.26204,"2005","Ecklonia radiata",0
"812300104","Batemans","BMP-S10","Shark Gutter NE Tollgates",-35.75012,150.26204,"2005","Ecklonia radiata",0
"812300111","Batemans","BMP-S11","Tollgates Outer Mid Bay",-35.75073,150.25915,"2005","Ecklonia radiata",69.2
"812300112","Batemans","BMP-S11","Tollgates Outer Mid Bay",-35.75073,150.25915,"2005","Ecklonia radiata",48.8
"812300113","Batemans","BMP-S11","Tollgates Outer Mid Bay",-35.75073,150.25915,"2005","Ecklonia radiata",24.4
"812300114","Batemans","BMP-S11","Tollgates Outer Mid Bay",-35.75073,150.25915,"2005","Ecklonia radiata",33.6
"812300121","Batemans","BMP-S12","Broulee Island",-35.86079,150.18594,"2006","Ecklonia radiata",23.6
"812300122","Batemans","BMP-S12","Broulee Island",-35.86079,150.18594,"2006","Ecklonia radiata",0
"812300123","Batemans","BMP-S12","Broulee Island",-35.86079,150.18594,"2006","Ecklonia radiata",0
"812300124","Batemans","BMP-S12","Broulee Island",-35.86079,150.18594,"2006","Ecklonia radiata",52
"812300131","Batemans","BMP-S13","Broulee North",-35.85507,150.19207,"2006","Ecklonia radiata",2.8
"812300132","Batemans","BMP-S13","Broulee North",-35.85507,150.19207,"2006","Ecklonia radiata",0
"812300133","Batemans","BMP-S13","Broulee North",-35.85507,150.19207,"2006","Ecklonia radiata",0
